,,,,,,,,
"Details of Granted Patents in IIEST, Shibpur",,,,,,,,
,,,,,,,,
Sl. No.,Granted Patent No.  ,Date of Grant,Inventor(s)/Faculty/Student,Title of Patent,Application Number,Date of Publication,Patent Filing Institute/Individual(s),Abstract
22,US12138676B2,12.11.2024,Nallagundla VENKATA REDDYAdabala SUBRAHMANYAMGangavenkataiah RAMURahul Kumar VERMADasu Venkat RAJUSuman Guha,System for a sheet metalworking and a process thereof,"US17/434,688 date 28/02/2022",02/03/2023,Tata Steel Ltd and Indian Institute of Technology Hyderabad,
21,,,,,,,,
2023,,,,,,,,
23,487726,22.12.2023,"Dr. Anindita Sengupta, Dr. Subhasish Roy, Dr. Surajit Sengupta",A Yarn Characterisation Unit ,897/kol/2014 dated 29.08.2014,26.08.2016,,
22,486907,21.12.2023,"Pratikanta Mishra, Atanu Banerjee, Sushanta Gogoi, Mousam Ghosh",A Low-cost Application-Specific Integrated Circuit (ASIC) employed in PMBLDCM Drive fed Domestic Application,201931034528 dated 27.08.2019,25.10.2019,,
21,480696,12.12.2023,"Joydeep Bhowmik, Abhishek, Ramakrishna, Sourav Sinha, Dr Debopam Das, Dr MAngal Kothari (IIT Kanpur)",QUADROTOR CONVERTIPLANE AIR VEHICLE,201711020832 dated 14.06.2017,21.12.2018,,
20,3838877,08.12.2023,"Debkalyan Paul,  Dipankar Mukherjee. Konika Das Bhaatacharya, Titas Belel, Sudipta Basu Pal",A Performance Measurement Method For I'v Curve Tracing Of Solar PV Generators,201831041898 dated 03.11.2018,,,
19,467249,08.11.2023,"Amitava Basu Mallick, Angshuman Sarkar, Debashish Sur",A Simplified and Economical Processing  Route For Preparing MnBi Magnetic Powder,201931009142 dated 08.03.2019,26.04.2019,,
18,461554,23.10.2023,"Gourab Das, 
Sourav Mandal,
Sukanta Dhar, 
Sukanta Bose, 
Jayasree Roy Sharma, 
Sumita Mukhopadhyay, 
Chandan Banerjee. 
A.K.Barua ",Surface texturization of glass to improve the light management in superstrate type thin film solar cells,201711009452 dated 17.03.2017,21.09.2018,,
17,457824,10.10.2023,"Dr. Paramita Chattopadhyay, Subhrajit Mitra, Dr. P. Konar",Artificial Neutral Network Based Adaptive Over Current Relay,201731019385 dated 02.06.2017,08.09.2017,,
16,457785,10.10.2023,"Joydeep Bhowmik,  Debopam Das",A FOLDABLE WING DESIGN OF AN IMPROVED FLAPPING WING AERIAL VEHICLE,201611038098 dated 08.11.2016,11.05.2018,,
15,452547,18.09.2023,"Joydeep Bhowmik,  Debopam Das",A Spring induced ornithopter wing design,201911016240 dated 24.04.2019,24.05.2019,,
14,437476,06.07.2023,"SUSHOVAN SARKAR, Prof. DEBABRATA MAZUMDER",Nonagon Cylindrical Mounted Attachment Frame,201731009961 dated 22.03.2017,28.09.2018,,
13,433651,03.06.2023,"Joydeep Bhowmik,  Debopam Das",ORNITHOPTER,59/DEL/2015 dated 07.01.2015,19.08.2016,,
12,429901,25.04.2023,"Pradip K. Sadhu, Kaushik Neogi, Atanu Banerjee, G. Panda, Nitai Pal, K.C.Jana, ",An Induction Curing System for Roof Treatment with Asphalt Concrete to Cure a Crack on Roof and a Method for the Same,1221/KOL/2015 dated 30.11.2015,22.01.2016,,
,,,,2022,,,,
11,408037,29.09.2022,"Parthasarathi Chakrabarti, Asok Adak , Shib Sankar Basak, and Ankita Pramanik ",A Surface Disinfection System (Applied),202131012559 dated 24/03/2021,21.01.2022,,
10,407903,28.09.2022,"Partha Bhattacharyya, Debanjan Acharyya",A process for fabrication of hybrid junction of reduced  graphene oxide nanoribbon and TiO2 nanotube array (TNTA) based gas sensor system,201631015735  dated 05.05.2016,10.11.2017,,
9,404878,29.08.2022,"Chanchal Majumder, Spandan Ghosh, and Soumya Kanta Ray",ONE-POT Synthesis of Grapheme Oxide-Mn-Fe Composite Nanomaterial and Purifying Water by the Same,201831048312 dated 20.12.2018,11.08.2022,,
,,,,2021,,,,
8,381117,02.11.2021,"Partha Bhattacharyya, Arnab Hazra",A process for forming an undoped p-type TiO2 based sensor device for accurate sensing of low ppm ethanol at low temperature,1285/KOL/2014 dated 11.12.2014,17.06.2016,,
7,370822,30.06.2021,"Paramita Chattopadhyay, K. K. Chattopadhyay, Ms. M. Bhunia",Nano material including Amourphous Graphene and Nano Fluids involving the same with a base medium having significantly Enhanced Electrical Insulation and Thermal Conductivity,201731040823 dated 15.11.2017,08.12.2017,,
6,362012,18.03.2021,"Surajit Sengupta, Sanjay Debnath, Anindita Sengupta",A system for testing Dynamically bending behaviour of semi-rigid fabrics and a method of such testing FER Received,1118/kol/2014 dated 01.11.2014,26.08.2016,,
5,356392,21.01.2021,"INDRAJIT BANERJEE, SWAPAN SHAKHARI, CHINMOY GHORAI, ARPAN SEN",AN IOT BASED REAL TIME PORTABLE WATER QUALITY MONITORING SYSTEM ,202031009277 dated 04.03.2020,15.05.2020,,
,,,,2020,,,,
4,345631,30.08.2020,"Partha Bhattacharyya, Arnab Hazra",A Process for Forming a TiO2 Nano Tube based Room Temperature (27C) Alcohol Sensor Device,1286/KOL/2014 dated 11.12.2014,17.06.2016,,
3,341257,13.07.2020,"Partha Bhattacharyya, Arnab Hazra",A Process for Fabricating an Undoped Transitional Metal Oxide (TMO) based P-N Homojunction Diode with Higher Rectification Efficiency,581/KOL/2015 dated 27.05.2015,20.10.2017,,
2,329191,09.01.2020,Debabrata Majumdar,SHAFT-TYPE HYBRID BIOREACTOR,835/KOL/2011 dated 23.06.2011,28.12.2012,,
,,,,2019,,,,
1,307439,14.02.2019,"Suman Guha, Shaik Shamsoddin","A METHOD FOR IMPROVING YIELD STRENGTH OF A WORKPIECE, AN APPARATUS AND A WORKPIECE THEREOF",201731045065 dated 14.12.2017,12.1.2018,,
